Timestamp,Volt RMS,Current RMS,Real Power,PF,RAW PACKET
1970-01-01 02:47:40.695000,216.2,0.05,3.8,0.94,"{""SeqId"":688,""TimeStamp"":2860695,""TypeId"":3,""RmsVoltage"":216.2,""RmsCurrent"":0.05,""Temp"":68.92,""RealPower"":3.8,""NettEnergy"":2099.63,""PowerFactor"":0.94,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:48:41.715000,215.1,0.04,4.0,0.96,"{""SeqId"":689,""TimeStamp"":2921715,""TypeId"":3,""RmsVoltage"":215.1,""RmsCurrent"":0.04,""Temp"":66.66,""RealPower"":4,""NettEnergy"":2099.65,""PowerFactor"":0.96,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:49:42.785000,216.4,0.05,3.9,0.96,"{""SeqId"":690,""TimeStamp"":2982785,""TypeId"":3,""RmsVoltage"":216.4,""RmsCurrent"":0.05,""Temp"":66.34,""RealPower"":3.9,""NettEnergy"":2099.67,""PowerFactor"":0.96,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:50:43.825000,215.8,0.04,4.2,0.96,"{""SeqId"":692,""TimeStamp"":3043825,""TypeId"":3,""RmsVoltage"":215.8,""RmsCurrent"":0.04,""Temp"":68.27,""RealPower"":4.2,""NettEnergy"":2099.69,""PowerFactor"":0.96,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:51:44.845000,214.9,0.34,72.4,0.9,"{""SeqId"":693,""TimeStamp"":3104845,""TypeId"":3,""RmsVoltage"":214.9,""RmsCurrent"":0.34,""Temp"":66.66,""RealPower"":72.4,""NettEnergy"":2099.76,""PowerFactor"":0.9,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:52:45.865000,215.5,0.05,4.0,0.96,"{""SeqId"":694,""TimeStamp"":3165865,""TypeId"":3,""RmsVoltage"":215.5,""RmsCurrent"":0.05,""Temp"":66.98,""RealPower"":4,""NettEnergy"":2099.77,""PowerFactor"":0.96,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:53:46.905000,215.3,0.04,4.0,0.96,"{""SeqId"":696,""TimeStamp"":3226905,""TypeId"":3,""RmsVoltage"":215.3,""RmsCurrent"":0.04,""Temp"":66.98,""RealPower"":4,""NettEnergy"":2099.79,""PowerFactor"":0.96,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:54:47.975000,216.9,0.21,3.8,0.96,"{""SeqId"":697,""TimeStamp"":3287975,""TypeId"":3,""RmsVoltage"":216.9,""RmsCurrent"":0.21,""Temp"":66.98,""RealPower"":3.8,""NettEnergy"":2099.81,""PowerFactor"":0.96,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:55:48.995000,214.9,0.21,4.1,0.9,"{""SeqId"":698,""TimeStamp"":3348995,""TypeId"":3,""RmsVoltage"":214.9,""RmsCurrent"":0.21,""Temp"":66.02,""RealPower"":4.1,""NettEnergy"":2099.84,""PowerFactor"":0.9,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:56:50.045000,216.1,0.35,4.0,0.95,"{""SeqId"":700,""TimeStamp"":3410045,""TypeId"":3,""RmsVoltage"":216.1,""RmsCurrent"":0.35,""Temp"":68.59,""RealPower"":4,""NettEnergy"":2099.86,""PowerFactor"":0.95,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:57:51.065000,215.6,0.01,0.0,-0.0,"{""SeqId"":701,""TimeStamp"":3471065,""TypeId"":3,""RmsVoltage"":215.6,""RmsCurrent"":0.01,""Temp"":67.63,""RealPower"":0,""NettEnergy"":2099.89,""PowerFactor"":-0,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
